id,article_ids,qa_type,is_possible,num_answers,num_plausible_answers,question_chars,answer_chars,question_tokens,answer_tokens,has_question,has_answer,has_mojibake
211640_1,211640,factoid,True,1,1,97,163,21,35,True,True,False
211640_2,211640,event_summary,True,1,1,92,298,21,66,True,True,False
211640_3,211640,cause_effect,True,1,1,70,271,16,57,True,True,False
211640_4,211640,comparison,True,1,1,95,206,21,46,True,True,False
211640_5,211640,claim_verification,True,1,1,95,325,22,72,True,True,False
152685_1,152685,factoid,True,1,1,71,66,15,17,True,True,False
152685_2,152685,event_summary,True,1,1,89,373,22,83,True,True,False
152685_3,152685,cause_effect,True,1,1,92,235,20,51,True,True,False
152685_4,152685,entity_role,True,1,1,77,222,20,50,True,True,False
152685_5,152685,unanswerable,False,0,1,101,0,24,0,True,False,False
132354_1,132354,factoid,True,1,1,100,234,21,53,True,True,False
132354_2,132354,event_summary,True,1,1,81,466,17,110,True,True,False
132354_3,132354,cause_effect,True,1,1,85,215,19,51,True,True,False
132354_4,132354,entity_role,True,1,1,87,261,18,59,True,True,False
132354_5,132354,unanswerable,False,0,1,63,0,14,0,True,False,False
50356_1,50356,factoid,True,1,1,69,82,15,19,True,True,False
50356_2,50356,event_summary,True,1,1,79,320,18,69,True,True,False
50356_3,50356,cause_effect,True,1,1,80,269,17,58,True,True,False
50356_4,50356,entity_role,True,1,1,69,285,14,61,True,True,False
50356_5,50356,unanswerable,False,0,1,71,0,16,0,True,False,False
148770_1,148770,factoid,True,1,1,65,129,15,29,True,True,False
148770_2,148770,event_summary,True,1,1,95,302,22,69,True,True,False
148770_3,148770,cause_effect,True,1,1,94,126,20,27,True,True,False
148770_4,148770,entity_role,True,1,1,73,205,17,44,True,True,False
148770_5,148770,claim_verification,True,1,1,102,104,22,23,True,True,False
95886_1,95886,factoid,True,1,1,54,28,12,5,True,True,False
95886_2,95886,event_summary,True,1,1,131,337,27,72,True,True,False
95886_3,95886,cause_effect,True,1,1,124,245,27,54,True,True,False
95886_4,95886,cause_effect,True,1,1,87,244,20,53,True,True,False
95886_5,95886,claim_verification,True,1,1,104,182,23,37,True,True,False
106745_1,106745,factoid,True,1,1,101,72,23,16,True,True,False
106745_2,106745,event_summary,True,1,1,115,587,26,127,True,True,False
106745_3,106745,cause_effect,True,1,1,103,116,23,26,True,True,False
106745_4,106745,entity_role,True,1,1,124,347,28,76,True,True,False
106745_5,106745,unanswerable,False,0,1,123,0,28,0,True,False,False
90345_1,90345,factoid,True,1,1,56,35,13,8,True,True,False
90345_2,90345,event_summary,True,1,1,118,230,27,50,True,True,False
90345_3,90345,cause_effect,True,1,1,89,198,21,43,True,True,False
90345_4,90345,entity_role,True,1,1,83,170,18,34,True,True,False
90345_5,90345,unanswerable,False,0,1,90,0,20,0,True,False,False
225322_1,225322,factoid,True,1,1,85,61,19,14,True,True,False
225322_2,225322,event_summary,True,1,1,84,233,18,53,True,True,False
225322_3,225322,cause_effect,True,1,1,111,165,24,36,True,True,False
225322_4,225322,comparison,True,1,1,82,236,18,53,True,True,False
225322_5,225322,unanswerable,False,0,1,76,0,17,0,True,False,False
114604_1,114604,factoid,True,1,1,144,114,30,27,True,True,False
114604_2,114604,event_summary,True,1,1,138,238,28,51,True,True,False
114604_3,114604,cause_effect,True,1,1,113,265,27,60,True,True,False
114604_4,114604,entity_role,True,1,1,115,286,26,65,True,True,False
114604_5,114604,unanswerable,False,0,1,148,0,32,0,True,False,False
160104_1,160104,factoid,True,1,1,78,77,16,17,True,True,False
160104_2,160104,event_summary,True,1,1,83,322,18,72,True,True,False
160104_3,160104,cause_effect,True,1,1,113,110,24,26,True,True,False
160104_4,160104,comparison,True,1,1,86,193,19,45,True,True,False
160104_5,160104,unanswerable,False,0,1,82,0,18,0,True,False,False
253647_1,253647,factoid,True,1,1,117,60,24,11,True,True,False
253647_2,253647,event_summary,True,1,1,121,194,26,42,True,True,False
253647_3,253647,comparison,True,1,1,116,80,24,18,True,True,False
253647_4,253647,cause_effect,True,1,1,148,111,35,27,True,True,False
253647_5,253647,unanswerable,False,0,1,146,0,33,0,True,False,False
64976_1,64976,factoid,True,1,1,98,123,20,24,True,True,False
64976_2,64976,event_summary,True,1,1,89,248,18,51,True,True,False
64976_3,64976,cause_effect,True,1,1,94,369,19,78,True,True,False
64976_4,64976,entity_role,True,1,1,91,331,19,68,True,True,False
64976_5,64976,unanswerable,False,0,1,76,0,16,0,True,False,False
44651_1,44651,factoid,True,1,1,99,22,21,5,True,True,False
44651_2,44651,event_summary,True,1,1,100,470,20,106,True,True,False
44651_3,44651,cause_effect,True,1,1,85,256,19,58,True,True,False
44651_4,44651,entity_role,True,1,1,93,306,20,67,True,True,False
44651_5,44651,unanswerable,False,0,1,81,0,20,0,True,False,False
246182_1,246182,factoid,True,1,1,91,200,22,46,True,True,False
246182_2,246182,event_summary,True,1,1,86,357,21,80,True,True,False
246182_3,246182,entity_role,True,1,1,74,369,18,82,True,True,False
246182_4,246182,cause_effect,True,1,1,69,101,16,23,True,True,False
246182_5,246182,unanswerable,False,0,1,71,0,16,0,True,False,False
157600_1,157600,factoid,True,1,1,56,56,13,13,True,True,False
157600_2,157600,event_summary,True,1,1,87,250,21,56,True,True,False
157600_3,157600,entity_role,True,1,1,109,202,24,46,True,True,False
157600_4,157600,cause_effect,True,1,1,108,150,25,34,True,True,False
157600_5,157600,unanswerable,False,0,1,82,0,18,0,True,False,False
56336_1,56336,factoid,True,1,1,69,114,15,24,True,True,False
56336_2,56336,event_summary,True,1,1,70,277,16,57,True,True,False
56336_3,56336,cause_effect,True,1,1,91,170,19,35,True,True,False
56336_4,56336,comparison,True,1,1,72,191,17,35,True,True,False
56336_5,56336,claim_verification,True,1,1,103,244,22,54,True,True,False
5446_1,5446,factoid,True,1,1,132,16,30,3,True,True,False
5446_2,5446,event_summary,True,1,1,110,207,24,44,True,True,False
5446_3,5446,entity_role,True,1,1,84,242,17,49,True,True,False
5446_4,5446,cause_effect,True,1,1,92,169,20,37,True,True,False
5446_5,5446,unanswerable,False,0,1,128,0,28,0,True,False,False
16546_1,16546,factoid,True,1,1,108,85,21,20,True,True,False
16546_2,16546,event_summary,True,1,1,77,302,16,68,True,True,False
16546_3,16546,cause_effect,True,1,1,105,249,19,57,True,True,False
16546_4,16546,entity_role,True,1,1,80,293,16,67,True,True,False
16546_5,16546,claim_verification,True,1,1,104,226,22,53,True,True,False
78351_1,78351,factoid,True,1,1,124,53,30,11,True,True,False
78351_2,78351,event_summary,True,1,1,94,170,22,35,True,True,False
78351_3,78351,entity_role,True,1,1,122,143,28,30,True,True,False
78351_4,78351,cause_effect,True,1,1,109,129,24,28,True,True,False
78351_5,78351,unanswerable,False,0,1,118,0,27,0,True,False,False
cross_0_1,150854; 150858; 150614,multi_doc_comparison,True,1,1,358,563,81,125,True,True,False
cross_0_2,150854; 150858; 150614,multi_doc_comparison,False,0,1,307,0,70,0,True,False,False
cross_1_1,152478; 152549; 153051,multi_doc_comparison,True,1,1,237,581,50,124,True,True,False
cross_1_2,152478; 152549; 153051,multi_doc_comparison,False,0,1,257,0,56,0,True,False,False
cross_2_1,79595; 75539; 78693,multi_doc_comparison,True,1,1,177,595,41,133,True,True,False
cross_2_2,79595; 75539; 78693,multi_doc_comparison,False,0,1,215,0,44,0,True,False,False
cross_3_1,79333; 79060; 78375,multi_doc_comparison,True,1,1,344,601,76,135,True,True,False
cross_3_2,79333; 79060; 78375,multi_doc_comparison,False,0,1,315,0,66,0,True,False,False
cross_4_1,178976; 178937; 177700,multi_doc_comparison,True,1,1,209,394,45,86,True,True,False
cross_4_2,178976; 178937; 177700,multi_doc_comparison,False,0,1,228,0,48,0,True,False,False
cross_5_1,102777; 178328; 4420,multi_doc_comparison,True,1,1,209,611,49,139,True,True,False
cross_5_2,102777; 178328; 4420,timeline,False,0,1,205,0,48,0,True,False,False
cross_6_1,90555; 164317; 91968,multi_doc_comparison,True,1,1,165,489,38,111,True,True,False
cross_6_2,90555; 164317; 91968,multi_doc_comparison,True,1,1,225,395,52,90,True,True,False
cross_7_1,15768; 15473; 168961,multi_doc_comparison,True,1,1,317,760,69,157,True,True,False
cross_7_2,15768; 15473; 168961,multi_doc_comparison,False,0,1,290,0,61,0,True,False,False
cross_8_1,54620; 187611; 54066,multi_doc_comparison,True,1,1,201,446,45,95,True,True,False
cross_8_2,54620; 187611; 54066,timeline,False,0,1,349,0,75,0,True,False,False
cross_9_1,183632; 184630; 183453,multi_doc_comparison,True,1,1,287,692,61,141,True,True,False
cross_9_2,183632; 184630; 183453,multi_doc_comparison,False,0,1,209,0,45,0,True,False,False
cross_10_1,111170; 111966; 111997,multi_doc_comparison,True,1,1,195,384,41,74,True,True,False
cross_10_2,111170; 111966; 111997,timeline,False,0,1,199,0,42,0,True,False,False
cross_11_1,109851; 113767; 111756,multi_doc_comparison,True,1,1,188,320,39,58,True,True,False
cross_11_2,109851; 113767; 111756,timeline,False,0,1,299,0,59,0,True,False,False
cross_12_1,26619; 26887; 204720,multi_doc_comparison,True,1,1,190,343,42,71,True,True,False
cross_12_2,26619; 26887; 204720,timeline,False,0,1,235,0,54,0,True,False,False
cross_13_1,204015; 204035; 26707,multi_doc_comparison,True,1,1,242,613,55,137,True,True,False
cross_13_2,204015; 204035; 26707,multi_doc_comparison,False,0,1,265,0,63,0,True,False,False
cross_14_1,116986; 116279; 116533,multi_doc_comparison,False,0,1,274,0,56,0,True,False,False
cross_14_2,116986; 116279; 116533,multi_doc_comparison,True,1,1,210,593,50,123,True,True,False
cross_15_1,208005; 205316; 31675,multi_doc_comparison,True,1,1,175,383,39,85,True,True,False
cross_15_2,208005; 205316; 31675,timeline,False,0,1,240,0,49,0,True,False,False
cross_16_1,122604; 120599; 121437,multi_doc_comparison,True,1,1,231,569,50,131,True,True,False
cross_16_2,122604; 120599; 121437,timeline,False,0,1,236,0,53,0,True,False,False
cross_17_1,217822; 218093; 121509,multi_doc_comparison,True,1,1,249,560,54,114,True,True,False
cross_17_2,217822; 218093; 121509,multi_doc_comparison,False,0,1,186,0,40,0,True,False,False
cross_18_1,221769; 222088; 219358,multi_doc_comparison,True,1,1,270,588,62,128,True,True,False
cross_18_2,221769; 222088; 219358,multi_doc_comparison,True,1,1,300,689,68,152,True,True,False
cross_19_1,221710; 37169; 225971,multi_doc_comparison,True,1,1,190,335,43,76,True,True,False
cross_19_2,221710; 37169; 225971,timeline,False,0,1,336,0,76,0,True,False,False
cross_20_1,140608; 133519; 244381,multi_doc_comparison,True,1,1,271,733,61,170,True,True,False
cross_20_2,140608; 133519; 244381,multi_doc_comparison,False,0,1,251,0,59,0,True,False,False
cross_21_1,139413; 247390; 133992,multi_doc_comparison,True,1,1,216,486,47,110,True,True,False
cross_21_2,139413; 247390; 133992,timeline,True,0,1,195,0,46,0,True,False,False
cross_22_1,145672; 52000; 144527,multi_doc_comparison,True,1,1,184,753,42,162,True,True,False
cross_22_2,145672; 52000; 144527,multi_doc_comparison,False,0,1,255,0,56,0,True,False,False
cross_23_1,254260; 143170; 146482,multi_doc_comparison,True,1,1,240,643,55,142,True,True,False
cross_23_2,254260; 143170; 146482,multi_doc_comparison,False,0,1,349,0,78,0,True,False,False
cross_24_1,70126; 71542; 70125,multi_doc_comparison,True,1,1,150,662,30,136,True,True,False
cross_24_2,70126; 71542; 70125,timeline,False,0,1,196,0,41,0,True,False,False
cross_25_1,264833; 265189; 264994,multi_doc_comparison,True,1,1,279,852,63,192,True,True,False
cross_25_2,264833; 265189; 264994,multi_doc_comparison,False,0,1,229,0,50,0,True,False,False
